 ;Area;Mean;Min;Max;X;Y
Ji_7_f;0;173;173;173;882.333;1563.333
Ji_7_f;0;173;173;173;883.667;1423.333
Ji_7_f;0;173;173;173;893.000;1295.333
Ji_7_f;0;173;173;173;901.000;1166.000
Ji_7_f;0;173;173;173;918.333;1023.667
Ji_7_f;0;173;173;173;930.333;900.333
Ji_7_f;0;173;173;173;931.667;823.333
Ji_7_f;0;173;173;173;935.667;736.667
Ji_7_f;0;173;173;173;954.333;634.667
Ji_7_f;0;173;173;173;946.333;232.667
Ji_7_f;0;173;173;173;682.333;427.333
Ji_7_f;0;173;173;173;619.667;535.333
Ji_7_f;0;173;173;173;599.667;698.333
Ji_7_f;0;173;173;173;590.333;806.333
Ji_7_f;0;173;173;173;561.000;914.333
Ji_7_f;0;173;173;173;506.667;1069.000
Ji_7_f;0;173;173;173;534.667;1241.000
Ji_7_f;0;173;173;173;612.000;1378.333
Ji_7_f;0;173;173;173;753.333;1483.667
Ji_7_f;0;173;173;173;1025.333;1485.000
Ji_7_f;0;173;173;173;1154.000;1391.000
Ji_7_f;0;173;173;173;1200.667;1243.000
Ji_7_f;0;173;173;173;1228.667;1074.333
Ji_7_f;0;173;173;173;1234.000;943.667
Ji_7_f;0;173;173;173;1222.000;847.667
Ji_7_f;0;173;173;173;1228.667;747.667
Ji_7_f;0;173;173;173;1230.000;589.333
Ji_7_f;0;173;173;173;1188.667;485.333
